loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,loan_status
20000,36,9.44,640.1,B,B1,10+ years,MORTGAGE,110000.0,debt_consolidation,Current
7000,36,9.44,224.04,B,B1,10+ years,MORTGAGE,80000.0,credit_card,Current
8000,36,10.65,260.59,B,B2,5 years,RENT,38000.0,wedding,Fully Paid
6000,36,7.97,187.94,A,A5,3 years,RENT,120000.0,debt_consolidation,Current
16000,36,13.33,541.65,C,C3,7 years,MORTGAGE,71000.0,debt_consolidation,Fully Paid
15000,60,12.88,340.38,C,C2,4 years,MORTGAGE,55000.0,debt_consolidation,Current
10000,36,27.27,409.71,E,E5,10+ years,MORTGAGE,170000.0,debt_consolidation,Current
20000,36,13.49,678.61,C,C2,10+ years,MORTGAGE,65000.0,debt_consolidation,Current
21000,60,11.98,466.93,B,B5,9 years,MORTGAGE,110000.0,debt_consolidation,Current
6000,36,7.49,186.61,A,A4,10+ years,RENT,115000.0,debt_consolidation,Current
9500,36,15.31,330.77,C,C5,4 years,MORTGAGE,37000.0,debt_consolidation,Charged Off
6000,36,16.91,213.65,C,C5,10+ years,MORTGAGE,78000.0,other,Current
35000,60,19.99,927.1,E,E1,10+ years,MORTGAGE,170000.0,debt_consolidation,Current
10000,36,7.26,309.97,A,A4,10+ years,MORTGAGE,137000.0,major_purchase,Fully Paid
15000,60,15.02,357.01,C,C3,6 years,RENT,55000.0,home_improvement,Fully Paid
15000,36,15.61,524.48,D,D1,< 1 year,OWN,50000.0,debt_consolidation,Charged Off
15000,36,19.52,553.8,D,D4,7 years,MORTGAGE,94000.0,debt_consolidation,Fully Paid
18000,36,11.44,593.06,B,B4,4 years,MORTGAGE,104000.0,debt_consolidation,Current
3000,60,15.22,71.72,C,C3,5 years,RENT,40000.0,debt_consolidation,Fully Paid
23200,60,12.74,524.79,C,C1,5 years,RENT,95000.0,debt_consolidation,Current
10800,36,5.32,325.24,A,A1,5 years,OWN,35000.0,debt_consolidation,Current
20000,36,7.89,625.72,A,A5,10+ years,RENT,155000.0,credit_card,Fully Paid
30000,60,20.99,811.44,E,E5,4 years,RENT,93000.0,other,Charged Off
3600,36,10.42,116.88,B,B3,3 years,RENT,30000.0,major_purchase,Late (31-120 days)
12150,36,26.06,489.92,F,F5,4 years,RENT,26000.0,small_business,Fully Paid
7000,36,25.82,281.37,E,E4,10+ years,OWN,90000.0,other,Fully Paid
6500,36,6.03,197.84,A,A1,7 years,MORTGAGE,36816.0,debt_consolidation,Fully Paid
10000,36,12.74,335.69,C,C1,2 years,RENT,100000.0,moving,Current
30000,36,12.74,1007.07,C,C1,1 year,RENT,110000.0,debt_consolidation,Current
20000,60,15.61,482.23,D,D1,7 years,MORTGAGE,90000.0,debt_consolidation,Charged Off
16000,60,22.35,445.1,E,E2,< 1 year,RENT,70000.0,debt_consolidation,Current
15450,36,9.44,494.48,B,B1,< 1 year,MORTGAGE,28000.0,debt_consolidation,Current
28000,36,6.49,858.05,A,A2,9 years,MORTGAGE,154000.0,credit_card,Fully Paid
28000,36,6.99,864.44,A,A3,1 year,OWN,115000.0,credit_card,Fully Paid
12500,60,13.59,288.21,C,C2,2 years,RENT,110000.0,other,Current
25000,60,13.18,571.14,C,C3,10+ years,MORTGAGE,60000.0,debt_consolidation,Fully Paid
10800,36,20.2,402.47,E,E3,8 years,RENT,30000.0,debt_consolidation,Fully Paid
10400,60,19.52,272.77,D,D4,10+ years,RENT,43300.0,debt_consolidation,Charged Off
16000,36,12.62,536.18,C,C1,10+ years,MORTGAGE,48000.0,debt_consolidation,Current
35000,60,13.33,802.29,C,C3,10+ years,MORTGAGE,114000.0,credit_card,Fully Paid
12000,36,17.56,431.19,D,D1,4 years,RENT,38000.0,credit_card,Fully Paid
14000,36,10.99,458.28,B,B2,2 years,OWN,55000.0,credit_card,Fully Paid
10625,36,13.11,358.57,B,B4,1 year,MORTGAGE,31000.0,debt_consolidation,Fully Paid
5000,36,9.99,161.32,B,B3,10+ years,MORTGAGE,37000.0,credit_card,Charged Off
16000,60,12.62,360.95,C,C1,10+ years,MORTGAGE,111560.0,other,Current
10000,36,8.9,317.54,A,A5,4 years,MORTGAGE,76000.0,debt_consolidation,Fully Paid
18250,36,13.68,620.91,C,C1,10+ years,MORTGAGE,70000.0,debt_consolidation,Fully Paid
35000,36,16.99,1247.68,D,D3,7 years,MORTGAGE,90000.0,debt_consolidation,Fully Paid
12000,60,12.29,268.7,C,C1,< 1 year,RENT,45000.0,credit_card,Fully Paid
20000,36,12.69,670.9,C,C2,9 years,MORTGAGE,80000.0,debt_consolidation,Fully Paid
25000,60,9.44,524.32,B,B1,4 years,RENT,110000.0,debt_consolidation,Current
24450,36,23.13,948.12,F,F1,10+ years,RENT,87000.0,debt_consolidation,Charged Off
26375,60,9.75,557.16,B,B3,8 years,MORTGAGE,111000.0,credit_card,Fully Paid
20000,36,22.74,771.49,E,E1,4 years,MORTGAGE,56000.0,other,Fully Paid
30000,36,6.92,925.22,A,A4,10+ years,MORTGAGE,160000.0,debt_consolidation,Fully Paid
20000,60,18.94,518.16,D,D2,2 years,RENT,40000.0,debt_consolidation,Current
30000,60,13.99,697.9,C,C4,10+ years,MORTGAGE,68000.0,credit_card,Fully Paid
5000,36,12.74,167.85,C,C1,5 years,MORTGAGE,26000.0,debt_consolidation,Current
5000,36,12.49,167.25,B,B5,< 1 year,MORTGAGE,56500.0,debt_consolidation,Charged Off
19200,60,10.99,417.36,B,B4,3 years,RENT,150000.0,debt_consolidation,Fully Paid
10000,36,7.21,309.74,A,A3,5 years,MORTGAGE,160000.0,debt_consolidation,Current
9000,36,5.32,271.04,A,A1,< 1 year,MORTGAGE,40000.0,debt_consolidation,Fully Paid
8500,36,11.44,280.06,B,B4,3 years,RENT,110000.0,credit_card,Current
1600,36,11.44,52.72,B,B4,,RENT,15852.0,debt_consolidation,Current
30000,36,28.72,1252.61,F,F1,2 years,MORTGAGE,102000.0,debt_consolidation,Charged Off
40000,36,14.49,1376.65,C,C4,10+ years,RENT,130000.0,debt_consolidation,Fully Paid
20000,36,15.02,693.51,C,C3,9 years,MORTGAGE,110000.0,debt_consolidation,Current
14400,36,10.99,471.37,B,B4,9 years,MORTGAGE,90000.0,debt_consolidation,Fully Paid
10000,36,11.53,329.91,B,B5,2 years,MORTGAGE,99000.0,credit_card,Charged Off
12000,36,8.39,378.2,B,B1,3 years,MORTGAGE,108000.0,credit_card,Fully Paid
30000,36,20.39,1120.88,D,D4,7 years,MORTGAGE,83000.0,debt_consolidation,Late (31-120 days)
8000,36,11.67,264.46,B,B4,6 years,RENT,49000.0,debt_consolidation,Fully Paid
10000,36,13.06,337.23,C,C1,5 years,RENT,30000.0,debt_consolidation,Current
3475,36,19.47,128.21,D,D5,4 years,MORTGAGE,100000.0,home_improvement,Fully Paid
11000,36,13.67,374.2,B,B5,,MORTGAGE,53700.0,credit_card,Fully Paid
16000,36,6.99,493.97,A,A3,9 years,MORTGAGE,108717.0,credit_card,Fully Paid
20000,60,16.02,486.58,C,C5,< 1 year,RENT,80000.0,credit_card,Current
18225,36,11.67,602.47,B,B4,10+ years,RENT,49000.0,debt_consolidation,Fully Paid
7000,36,9.93,225.65,B,B2,10+ years,RENT,48000.0,debt_consolidation,Fully Paid
6000,36,6.11,182.84,A,A1,4 years,MORTGAGE,48000.0,credit_card,Current
16450,36,15.88,577.36,C,C4,6 years,MORTGAGE,69000.0,debt_consolidation,Fully Paid
40000,60,12.74,904.81,C,C1,4 years,OWN,100000.0,small_business,Current
10000,36,7.07,309.1,A,A2,1 year,MORTGAGE,71700.0,debt_consolidation,Current
12000,60,17.77,303.23,D,D1,10+ years,MORTGAGE,57636.0,debt_consolidation,Fully Paid
15000,60,12.05,334.05,C,C1,10+ years,MORTGAGE,60000.0,debt_consolidation,Current
15000,60,9.17,312.62,B,B2,8 years,MORTGAGE,47000.0,debt_consolidation,Fully Paid
15000,36,7.89,469.29,A,A5,10+ years,MORTGAGE,56000.0,debt_consolidation,Fully Paid
5000,36,13.99,170.87,C,C4,10+ years,MORTGAGE,49000.0,major_purchase,Fully Paid
10000,60,11.99,222.4,B,B5,5 years,RENT,35000.0,debt_consolidation,Current
20000,36,17.09,713.96,D,D1,4 years,RENT,84000.0,debt_consolidation,Current
3500,36,7.26,108.49,A,A4,2 years,RENT,10000.0,credit_card,Fully Paid
15000,60,13.99,348.95,C,C3,1 year,MORTGAGE,75000.0,debt_consolidation,Fully Paid
25000,60,18.99,648.38,D,D3,10+ years,MORTGAGE,130000.0,debt_consolidation,Current
3000,36,19.2,110.28,D,D3,8 years,MORTGAGE,53427.0,debt_consolidation,Fully Paid
17000,60,13.59,391.96,C,C2,,MORTGAGE,60000.0,credit_card,Current
40000,36,6.67,1229.06,A,A2,10+ years,MORTGAGE,1030000.0,debt_consolidation,Current
19350,36,8.18,607.97,B,B1,3 years,RENT,70000.0,debt_consolidation,Fully Paid
24000,60,14.46,564.18,C,C4,10+ years,MORTGAGE,85000.0,debt_consolidation,Current
18500,60,23.87,530.82,E,E2,2 years,MORTGAGE,84000.0,credit_card,Current
5000,36,6.83,154.0,A,A3,5 years,RENT,42000.0,other,Fully Paid
5000,36,13.59,169.9,C,C2,10+ years,RENT,40000.0,other,Current
20000,36,10.49,649.96,B,B2,7 years,RENT,70000.0,credit_card,Current
2800,36,11.44,92.26,B,B4,5 years,RENT,71000.0,car,Current
10000,36,16.02,351.67,C,C5,10+ years,MORTGAGE,50000.0,credit_card,Charged Off
30000,60,18.99,778.06,D,D3,10+ years,RENT,90000.0,debt_consolidation,Current
5000,36,7.89,156.43,A,A5,10+ years,RENT,66300.0,debt_consolidation,Fully Paid
7800,36,16.02,274.31,C,C5,7 years,MORTGAGE,38000.0,debt_consolidation,Current
20000,36,15.05,693.8,C,C4,10+ years,RENT,68000.0,small_business,Late (16-30 days)
28800,36,6.99,889.13,A,A2,6 years,MORTGAGE,200000.0,debt_consolidation,Current
14425,36,10.75,470.56,B,B4,10+ years,MORTGAGE,38000.0,debt_consolidation,Current
24000,60,16.59,591.19,D,D2,8 years,OWN,75000.0,other,Current
15000,60,13.99,348.95,C,C4,3 years,MORTGAGE,97000.0,credit_card,Current
8875,36,19.52,327.67,D,D4,10+ years,RENT,35000.0,debt_consolidation,Fully Paid
10000,36,8.46,315.5,A,A5,5 years,MORTGAGE,150000.0,debt_consolidation,Current
15000,36,17.47,538.31,D,D1,10+ years,OWN,1200000.0,debt_consolidation,Current
39600,36,22.91,1531.05,E,E1,10+ years,MORTGAGE,58000.0,credit_card,Current
1400,36,17.99,50.61,D,D2,10+ years,MORTGAGE,60000.0,other,Fully Paid
10000,36,10.99,327.34,B,B4,10+ years,MORTGAGE,55000.0,debt_consolidation,Fully Paid
8000,36,7.56,249.08,A,A3,6 years,MORTGAGE,65000.0,home_improvement,Current
13925,36,11.44,458.8,B,B4,10+ years,MORTGAGE,134000.0,debt_consolidation,Current
10000,36,12.12,332.72,B,B3,5 years,OWN,115000.0,major_purchase,Fully Paid
10000,36,11.99,332.1,B,B5,9 years,RENT,55000.0,credit_card,Current
13200,36,8.59,417.25,A,A5,10+ years,MORTGAGE,60000.0,debt_consolidation,Fully Paid
12000,36,11.05,393.15,B,B4,2 years,RENT,107400.0,debt_consolidation,Current
4000,36,7.99,125.33,A,A5,10+ years,MORTGAGE,110000.0,home_improvement,Current
35000,36,15.04,1213.98,C,C4,10+ years,MORTGAGE,95000.0,debt_consolidation,Late (31-120 days)
2000,36,7.35,62.08,A,A4,10+ years,OWN,35000.0,home_improvement,Fully Paid
25000,60,12.62,563.98,C,C1,9 years,MORTGAGE,74000.0,debt_consolidation,Current
16000,60,13.99,372.21,C,C4,10+ years,MORTGAGE,150000.0,debt_consolidation,Charged Off
5000,36,7.46,155.44,A,A4,10+ years,OWN,95000.0,credit_card,Current
19200,36,10.49,623.96,B,B3,10+ years,MORTGAGE,117000.0,debt_consolidation,Current
25000,60,16.01,608.09,C,C5,10+ years,MORTGAGE,80000.0,debt_consolidation,Fully Paid
12000,36,18.94,439.51,D,D2,3 years,RENT,45000.0,debt_consolidation,Current
3500,36,7.02,108.11,A,A2,4 years,RENT,45000.0,vacation,Current
15000,60,12.59,338.16,C,C2,1 year,MORTGAGE,80000.0,debt_consolidation,Charged Off
24000,60,13.11,547.43,B,B4,< 1 year,MORTGAGE,117000.0,debt_consolidation,Charged Off
17625,60,16.55,433.78,D,D2,,RENT,42000.0,debt_consolidation,Fully Paid
28575,36,17.86,1031.05,D,D5,6 years,MORTGAGE,72000.0,other,Fully Paid
14125,36,12.29,471.12,C,C1,3 years,MORTGAGE,35482.0,debt_consolidation,Fully Paid
5500,36,15.05,190.8,C,C4,< 1 year,RENT,35000.0,debt_consolidation,Fully Paid
14000,36,9.17,446.31,B,B2,9 years,RENT,40000.0,debt_consolidation,Fully Paid
16000,60,14.99,380.56,C,C4,1 year,MORTGAGE,145000.0,debt_consolidation,Current
18000,36,5.32,542.07,A,A1,5 years,RENT,40000.0,debt_consolidation,Fully Paid
15000,60,12.29,335.87,C,C1,10+ years,OWN,47000.0,home_improvement,Current
20000,36,7.02,617.73,A,A2,10+ years,RENT,130000.0,debt_consolidation,Current
16450,60,16.29,402.58,C,C4,1 year,MORTGAGE,36600.0,home_improvement,Fully Paid
24000,36,10.64,781.65,B,B4,6 years,MORTGAGE,71000.0,credit_card,Fully Paid
12500,60,18.06,317.83,D,D2,10+ years,MORTGAGE,60000.0,debt_consolidation,Current
1000,36,13.56,33.97,C,C1,,OWN,59000.0,credit_card,Current
12000,60,11.99,266.88,B,B5,10+ years,MORTGAGE,37000.0,debt_consolidation,Current
3050,36,21.18,115.2,E,E3,6 years,RENT,61000.0,other,Charged Off
16000,60,19.99,423.82,D,D4,9 years,OWN,110000.0,credit_card,Fully Paid
10000,36,18.55,364.29,D,D2,2 years,MORTGAGE,120000.0,debt_consolidation,Fully Paid
8000,36,10.08,258.44,B,B1,< 1 year,RENT,48000.0,credit_card,Current
23000,36,8.9,730.33,A,A5,8 years,MORTGAGE,110000.0,credit_card,Fully Paid
30000,36,8.39,945.5,B,B1,< 1 year,RENT,115000.0,debt_consolidation,Fully Paid
9000,36,12.74,302.12,C,C1,4 years,RENT,54000.0,debt_consolidation,Current
8000,36,12.13,266.22,B,B5,5 years,RENT,49000.0,debt_consolidation,Fully Paid
6850,36,12.99,230.78,C,C1,6 years,RENT,50000.0,debt_consolidation,Charged Off
5000,36,6.92,154.21,A,A4,< 1 year,RENT,48000.0,debt_consolidation,Fully Paid
11200,36,11.99,371.95,C,C1,2 years,RENT,40000.0,debt_consolidation,Fully Paid
40000,60,11.05,870.7,B,B4,10+ years,RENT,238494.0,small_business,Current
16000,60,14.49,376.37,C,C4,7 years,RENT,100000.0,debt_consolidation,Current
6000,36,7.26,185.98,A,A4,7 years,MORTGAGE,40000.0,debt_consolidation,Fully Paid
17350,60,13.53,399.49,B,B5,< 1 year,MORTGAGE,70000.0,credit_card,Fully Paid
21000,36,5.32,632.42,A,A1,7 years,RENT,98668.0,debt_consolidation,Fully Paid
10000,36,6.99,308.73,A,A3,10+ years,MORTGAGE,144000.0,debt_consolidation,Charged Off
15000,36,15.02,520.13,C,C3,6 years,MORTGAGE,180000.0,home_improvement,Current
15000,36,11.06,491.51,B,B3,2 years,MORTGAGE,47000.0,debt_consolidation,Current
11000,36,11.48,362.64,B,B5,1 year,OWN,120000.0,debt_consolidation,Fully Paid
20000,60,11.49,439.76,B,B5,2 years,RENT,75000.0,debt_consolidation,Current
7000,36,7.46,217.62,A,A4,10+ years,OWN,145000.0,debt_consolidation,Current
5000,36,13.99,170.87,C,C3,6 years,RENT,48500.0,vacation,Current
18000,60,11.99,400.31,C,C1,10+ years,OWN,50000.0,debt_consolidation,Charged Off
7200,36,12.69,241.53,C,C2,,OWN,60000.0,other,Fully Paid
35000,60,19.52,917.97,E,E2,1 year,MORTGAGE,225840.0,debt_consolidation,Fully Paid
35000,36,9.43,1120.01,B,B1,9 years,OWN,450000.0,credit_card,Current
12000,36,6.62,368.45,A,A2,4 years,RENT,30000.0,credit_card,Fully Paid
15000,36,13.49,508.96,C,C2,8 years,RENT,84894.0,debt_consolidation,Fully Paid
21000,60,12.29,470.22,C,C1,10+ years,MORTGAGE,110000.0,debt_consolidation,Fully Paid
8575,36,17.27,306.88,C,C5,7 years,RENT,32000.0,credit_card,Fully Paid
6000,36,6.68,184.39,A,A3,7 years,MORTGAGE,50500.0,debt_consolidation,Fully Paid
6000,36,14.08,205.3,C,C3,10+ years,MORTGAGE,85000.0,debt_consolidation,Current
9500,36,13.67,323.17,C,C4,5 years,MORTGAGE,72000.0,car,Fully Paid
12000,36,5.32,361.38,A,A1,10+ years,MORTGAGE,91500.0,credit_card,Fully Paid
16000,36,16.91,569.73,C,C5,4 years,RENT,45000.0,debt_consolidation,Current
5300,36,16.02,186.39,C,C5,10+ years,MORTGAGE,135000.0,debt_consolidation,Fully Paid
7950,60,12.99,180.85,C,C2,10+ years,MORTGAGE,76000.0,credit_card,Current
13200,36,11.99,438.37,B,B5,1 year,OWN,30000.0,credit_card,Fully Paid
15000,36,9.43,480.01,B,B1,10+ years,MORTGAGE,80000.0,debt_consolidation,Current
21000,36,10.64,683.94,B,B4,10+ years,MORTGAGE,112020.0,other,Fully Paid
29000,60,7.89,586.49,A,A5,< 1 year,MORTGAGE,65000.0,debt_consolidation,Charged Off
8000,36,7.97,250.59,A,A5,2 years,RENT,46000.0,debt_consolidation,Current
19250,60,15.61,464.15,C,C5,< 1 year,RENT,43000.0,debt_consolidation,Fully Paid
2500,36,11.99,83.03,B,B5,,OWN,40000.0,debt_consolidation,Fully Paid
12000,36,5.32,361.38,A,A1,9 years,RENT,91000.0,debt_consolidation,Current
37000,60,9.58,778.52,B,B1,10+ years,MORTGAGE,6000.0,debt_consolidation,Current
6000,36,5.32,180.69,A,A1,3 years,MORTGAGE,40150.0,credit_card,Current
15000,36,9.17,478.19,B,B1,10+ years,MORTGAGE,80000.0,credit_card,Fully Paid
20000,36,10.47,649.77,B,B2,< 1 year,RENT,145000.0,debt_consolidation,Current
15000,36,8.24,471.71,B,B1,5 years,RENT,60000.0,debt_consolidation,Current
10000,60,8.46,204.98,A,A5,,OWN,15180.0,debt_consolidation,Current
1400,36,30.75,60.01,F,F5,2 years,RENT,55000.0,moving,Fully Paid
3000,36,8.24,94.35,B,B1,10+ years,RENT,40000.0,debt_consolidation,Current
25000,36,7.02,772.16,A,A2,10+ years,MORTGAGE,749000.0,debt_consolidation,Current
20000,60,18.55,513.88,E,E2,< 1 year,RENT,72000.0,debt_consolidation,Fully Paid
7200,36,14.09,246.4,B,B5,6 years,RENT,32000.0,other,Fully Paid
28000,36,7.89,876.0,A,A5,4 years,MORTGAGE,80000.0,debt_consolidation,Fully Paid
30000,60,13.18,685.36,C,C3,10+ years,MORTGAGE,66000.0,credit_card,Fully Paid
5000,36,7.89,156.43,A,A5,< 1 year,RENT,39000.0,debt_consolidation,Fully Paid
13000,36,13.99,444.25,C,C4,7 years,OWN,46000.0,debt_consolidation,Charged Off
21000,60,9.17,437.67,B,B1,10+ years,MORTGAGE,47000.0,credit_card,Fully Paid
10000,36,7.34,310.33,A,A4,2 years,RENT,104000.0,credit_card,Late (16-30 days)
18000,36,9.44,576.09,B,B1,8 years,MORTGAGE,650000.0,credit_card,Current
20000,60,11.67,441.57,B,B4,< 1 year,RENT,71000.0,debt_consolidation,Fully Paid
5000,36,10.75,163.11,B,B4,10+ years,MORTGAGE,37000.0,credit_card,Fully Paid
6175,36,8.9,196.08,A,A5,10+ years,RENT,45000.0,credit_card,Fully Paid
16000,36,12.99,539.03,C,C2,3 years,OWN,70000.0,debt_consolidation,Fully Paid
4000,36,12.74,134.28,C,C1,1 year,MORTGAGE,37000.0,other,Fully Paid
35000,60,18.94,906.77,D,D2,10+ years,MORTGAGE,46000.0,debt_consolidation,Current
26425,36,10.49,858.76,B,B3,10+ years,RENT,93000.0,debt_consolidation,Charged Off
10000,36,10.99,327.34,B,B4,7 years,MORTGAGE,30000.0,other,Fully Paid
20000,36,11.99,664.2,B,B5,4 years,MORTGAGE,77000.0,debt_consolidation,Current
17500,60,13.56,403.22,C,C1,2 years,MORTGAGE,85000.0,credit_card,Current
30000,36,16.49,1061.99,D,D3,< 1 year,MORTGAGE,145000.0,debt_consolidation,Charged Off
8000,36,16.99,285.19,D,D1,2 years,RENT,97300.0,debt_consolidation,Fully Paid
15000,36,10.49,487.47,B,B2,3 years,MORTGAGE,70000.0,renewable_energy,Fully Paid
3000,36,9.76,96.47,B,B3,8 years,MORTGAGE,455000.0,debt_consolidation,Fully Paid
12800,36,5.32,385.47,A,A1,10+ years,MORTGAGE,103000.0,credit_card,Current
9000,36,11.39,296.32,B,B3,10+ years,MORTGAGE,96500.0,home_improvement,Fully Paid
8000,36,8.39,252.14,B,B1,2 years,RENT,43000.0,debt_consolidation,Fully Paid
30000,36,19.92,1113.69,D,D3,< 1 year,OWN,100000.0,debt_consolidation,Current
18000,36,19.99,668.86,D,D4,10+ years,MORTGAGE,285000.0,debt_consolidation,Fully Paid
10000,60,19.99,264.89,D,D4,< 1 year,RENT,40000.0,debt_consolidation,Current
10000,36,5.32,301.15,A,A1,< 1 year,MORTGAGE,85000.0,home_improvement,Fully Paid
17500,36,15.1,607.51,C,C2,,MORTGAGE,42000.0,credit_card,Charged Off
1900,36,13.66,64.63,C,C3,,RENT,45790.0,credit_card,Fully Paid
6000,36,11.98,199.23,B,B5,10+ years,MORTGAGE,48000.0,car,Current
10000,60,16.14,243.93,C,C4,10+ years,MORTGAGE,32000.0,debt_consolidation,Current
20000,60,13.99,465.27,C,C4,10+ years,RENT,136000.0,debt_consolidation,Fully Paid
10000,36,13.35,338.63,C,C2,9 years,RENT,30000.0,debt_consolidation,Fully Paid
17000,60,14.65,401.32,C,C5,2 years,MORTGAGE,35000.0,debt_consolidation,Fully Paid
4000,36,11.14,131.23,B,B2,1 year,RENT,24000.0,medical,Fully Paid
6500,36,7.07,200.91,A,A2,10+ years,MORTGAGE,50000.0,home_improvement,Charged Off
17050,60,23.99,490.4,F,F2,< 1 year,MORTGAGE,65000.0,debt_consolidation,Fully Paid
30000,36,15.59,1048.65,C,C5,10+ years,MORTGAGE,115000.0,debt_consolidation,Fully Paid
25000,60,24.08,720.37,F,F2,4 years,RENT,82600.0,house,Fully Paid
4800,36,13.56,163.03,C,C1,< 1 year,RENT,25000.0,debt_consolidation,Current
24025,60,16.99,596.96,D,D3,10+ years,MORTGAGE,68000.0,debt_consolidation,Charged Off
10325,36,15.59,360.91,D,D1,,RENT,22454.0,credit_card,Charged Off
20000,36,10.9,653.83,B,B4,10+ years,OWN,120000.0,other,Current
15000,36,9.99,483.94,B,B3,2 years,RENT,50000.0,credit_card,Fully Paid
11000,36,12.79,369.53,C,C1,4 years,RENT,45000.0,debt_consolidation,Current
4500,36,11.99,149.45,B,B5,2 years,RENT,50000.0,debt_consolidation,Current
15000,36,9.8,482.61,B,B3,< 1 year,RENT,65000.0,debt_consolidation,Fully Paid
12000,36,12.61,402.08,C,C1,10+ years,MORTGAGE,81000.0,debt_consolidation,Current
5600,36,12.69,187.86,C,C2,4 years,RENT,30000.0,credit_card,Fully Paid
1000,36,13.67,34.02,C,C3,2 years,MORTGAGE,90000.0,other,Fully Paid
10000,36,18.99,366.51,D,D3,10+ years,RENT,92000.0,debt_consolidation,Fully Paid
20000,36,19.99,743.17,D,D4,6 years,MORTGAGE,97000.0,debt_consolidation,Charged Off
20000,36,6.99,617.46,A,A3,10+ years,MORTGAGE,50000.0,credit_card,Fully Paid
16000,36,17.99,578.36,D,D2,10+ years,OWN,51000.0,credit_card,Fully Paid
24000,36,9.16,764.99,B,B2,8 years,MORTGAGE,90000.0,home_improvement,Fully Paid
20000,60,11.99,444.79,C,C1,10+ years,MORTGAGE,58000.0,debt_consolidation,Fully Paid
12000,60,15.27,287.19,C,C4,4 years,OWN,34440.0,debt_consolidation,Charged Off
15000,60,15.99,364.7,C,C5,1 year,RENT,88350.0,debt_consolidation,Fully Paid
2100,36,19.19,77.18,E,E3,< 1 year,RENT,40000.0,small_business,Charged Off
20000,36,12.35,667.64,B,B4,< 1 year,MORTGAGE,59700.0,debt_consolidation,Fully Paid
6000,36,16.02,211.01,C,C5,,RENT,55000.0,debt_consolidation,Current
10000,60,16.91,248.05,C,C5,9 years,RENT,40000.0,debt_consolidation,Current
19200,60,8.18,390.97,B,B1,4 years,MORTGAGE,40000.0,credit_card,Fully Paid
8000,36,9.49,256.23,B,B2,10+ years,OWN,75000.0,major_purchase,Fully Paid
18000,60,14.98,428.03,C,C3,4 years,MORTGAGE,92000.0,home_improvement,Fully Paid
9000,36,12.29,300.18,C,C1,10+ years,MORTGAGE,73600.0,home_improvement,Fully Paid
35000,36,22.91,1353.2,E,E1,10+ years,MORTGAGE,90000.0,debt_consolidation,Current
8000,36,12.79,268.75,C,C1,3 years,RENT,54000.0,debt_consolidation,Fully Paid
31975,60,15.59,770.63,D,D1,8 years,MORTGAGE,64000.0,debt_consolidation,Charged Off
8000,36,11.99,265.68,B,B5,< 1 year,MORTGAGE,65000.0,credit_card,Current
20000,36,11.99,664.2,B,B3,10+ years,RENT,63000.0,debt_consolidation,Fully Paid
14125,60,15.8,342.0,C,C3,8 years,RENT,45000.0,debt_consolidation,Fully Paid
2500,36,7.21,77.44,A,A3,10+ years,OWN,49300.0,home_improvement,Current
7000,36,9.44,224.04,B,B1,10+ years,MORTGAGE,41600.0,credit_card,Current
20000,36,15.05,693.8,C,C4,,MORTGAGE,61000.0,debt_consolidation,Charged Off
20000,36,7.99,626.64,A,A5,2 years,MORTGAGE,100000.0,debt_consolidation,Current
6000,36,6.24,183.19,A,A2,2 years,RENT,75000.0,credit_card,Fully Paid
8000,36,23.32,311.02,E,E3,8 years,MORTGAGE,56000.0,home_improvement,Fully Paid
25000,36,10.91,817.41,B,B4,< 1 year,MORTGAGE,15000.0,debt_consolidation,Current
10000,36,9.44,320.05,B,B1,10+ years,MORTGAGE,50000.0,credit_card,Current
7200,36,7.62,224.37,A,A3,7 years,OWN,56000.0,debt_consolidation,Fully Paid
26000,60,10.42,557.82,B,B3,< 1 year,MORTGAGE,100200.0,debt_consolidation,Fully Paid
16000,60,15.04,380.98,C,C4,9 years,OWN,65000.0,other,Current
25000,36,14.07,855.3,C,C3,10+ years,MORTGAGE,95000.0,credit_card,Current
6000,36,18.06,217.1,D,D2,3 years,RENT,22500.0,credit_card,In Grace Period
8000,36,11.39,263.39,B,B3,5 years,MORTGAGE,61240.0,debt_consolidation,Current
5375,36,7.62,167.5,A,A3,4 years,MORTGAGE,75000.0,home_improvement,Fully Paid
5500,36,10.99,180.04,B,B4,10+ years,MORTGAGE,49000.0,debt_consolidation,Current
18000,36,7.24,557.77,A,A3,10+ years,OWN,55000.0,debt_consolidation,Current
9100,36,13.99,310.98,C,C4,10+ years,MORTGAGE,49200.0,credit_card,Fully Paid
19200,60,15.02,456.97,C,C3,10+ years,MORTGAGE,50000.0,medical,Current
15725,36,16.99,560.57,D,D1,6 years,RENT,52000.0,debt_consolidation,Fully Paid
12000,60,21.45,327.69,D,D5,2 years,RENT,70000.0,debt_consolidation,Current
10000,36,7.99,313.32,A,A5,10+ years,MORTGAGE,60000.0,credit_card,Current
10000,36,14.52,344.31,C,C3,2 years,MORTGAGE,65000.0,debt_consolidation,Current
17200,36,11.47,566.95,B,B5,3 years,RENT,35000.0,debt_consolidation,Charged Off
2350,36,8.9,74.63,A,A5,4 years,MORTGAGE,55000.0,credit_card,Fully Paid
19750,36,10.65,643.33,B,B2,4 years,RENT,45000.0,debt_consolidation,Charged Off
